income,debt_ratio,credit_history_years,num_accounts,default
28047.28,0.1514,2,3,0
54441.8,0.2188,3,6,0
53915.83,0.4638,3,1,0
50076.7,0.3359,9,2,0
46481.19,0.6802,7,1,0
28769.44,0.4016,8,5,0
43690.32,0.2741,9,7,0
44859.28,0.532,6,8,0
37965.84,0.5947,4,1,1
47580.71,0.2169,1,7,0
56060.76,0.2173,8,5,0
78292.79,0.1257,7,1,0
52618.67,0.6155,2,3,0
53863.26,0.5647,8,7,0
48883.31,0.4322,5,1,0
21218.43,0.6909,7,7,0
49602.29,0.664,4,5,1
50903.45,0.5097,5,1,0
86948.63,0.7078,8,1,0
47114.59,0.2441,1,1,0
54523.21,0.1783,1,9,0
49479.32,0.2888,4,3,0
32469.83,0.14,3,5,0
67142.34,0.4718,2,9,0
61279.0,0.7556,3,6,0
61865.48,0.1275,1,9,0
36359.19,0.1855,1,8,0
71041.91,0.4165,6,8,0
28972.23,0.7537,5,1,0
58802.86,0.3213,8,9,0
82856.83,0.4551,2,6,0
35141.96,0.1291,4,9,0
41505.53,0.2038,8,3,0
51494.77,0.7906,6,3,0
42447.87,0.7756,1,6,1
26740.05,0.1035,4,9,0
51028.44,0.7663,1,7,1
34065.44,0.5474,2,3,0
57103.89,0.7075,5,3,0
36208.64,0.4183,8,2,0
73249.02,0.4609,8,9,0
38251.2,0.4422,3,3,0
45169.08,0.5668,4,5,0
62202.76,0.1978,6,9,0
31537.04,0.121,3,8,0
53411.9,0.3156,2,2,0
69607.14,0.5933,6,3,0
25887.75,0.2413,5,2,0
52769.51,0.5714,5,8,0
53898.24,0.7789,5,6,0
61727.34,0.1657,5,6,0
31445.74,0.5708,3,9,1
30193.15,0.4106,7,8,0
57829.12,0.7077,6,4,0
54454.77,0.224,4,4,0
53757.39,0.5848,2,9,0
55196.72,0.6867,9,1,0
39799.63,0.7612,1,2,0
53483.81,0.5783,4,2,0
54396.09,0.448,1,6,0
39284.73,0.5325,6,4,0
77986.62,0.7082,4,3,0
57107.49,0.4994,5,3,0
32130.45,0.1213,5,3,0
59848.3,0.7517,9,6,0
35379.77,0.5827,1,8,0
61806.27,0.5736,2,7,0
67378.93,0.251,6,4,0
37689.77,0.5612,5,4,0
64450.64,0.3757,7,2,0
56191.71,0.5559,3,1,0
62330.9,0.1746,3,9,0
78451.89,0.5605,2,2,0
46319.18,0.7996,3,8,0
38693.96,0.1337,1,9,0
36657.28,0.784,5,4,0
37762.85,0.3848,5,8,0
48843.47,0.7095,7,9,0
55117.28,0.6477,4,5,0
54150.36,0.4969,3,7,0
62407.75,0.6169,1,4,0
50195.03,0.715,8,1,0
71803.01,0.3829,3,3,0
46030.15,0.3289,2,5,0
90802.54,0.5673,4,3,0
59385.01,0.6655,3,7,0
37142.64,0.6336,1,9,0
33936.61,0.6585,3,6,0
57237.09,0.4049,2,1,0
46648.06,0.6725,8,7,0
60710.01,0.1841,6,3,0
57098.56,0.4811,9,5,0
48907.57,0.104,8,4,0
37298.09,0.3272,3,5,0
27277.29,0.3565,5,5,0
43302.28,0.3773,7,6,0
62845.98,0.5868,5,6,0
53211.41,0.372,8,8,0
31313.92,0.4141,5,8,0
52597.71,0.2663,1,9,0
55779.76,0.3613,5,8,0
36742.14,0.2591,4,2,0
52305.88,0.1512,6,1,0
50873.13,0.5224,3,2,0
32855.45,0.5677,5,2,0
55366.81,0.5336,2,3,0
58411.77,0.4244,6,7,0
66245.77,0.3659,6,2,0
65807.03,0.7043,5,1,0
29334.96,0.4634,6,6,0
35932.62,0.4354,7,9,0
57725.53,0.1179,5,3,0
57706.79,0.3389,1,6,0
57725.72,0.3661,8,3,0
107790.97,0.3792,4,1,0
58563.36,0.5061,9,5,0
67033.48,0.4735,6,4,0
64310.03,0.5255,1,7,1
59770.87,0.6354,3,6,0
45270.96,0.6691,3,7,0
61384.54,0.6027,4,5,0
38407.62,0.7689,6,4,0
46447.72,0.1128,7,7,0
42719.55,0.237,4,7,0
51228.11,0.1053,6,6,0
84719.88,0.5532,1,8,0
21991.02,0.7286,8,4,1
60293.9,0.2704,7,5,0
25809.26,0.7489,9,4,1
42921.02,0.1422,3,1,0
66334.26,0.7541,2,8,0
50964.2,0.3461,1,1,0
33833.83,0.171,3,5,0
39270.44,0.4401,5,6,0
60193.97,0.2797,2,6,0
39044.5,0.2994,3,5,0
53246.88,0.3151,4,3,0
50683.58,0.6621,7,5,0
40225.99,0.4774,3,8,0
82159.16,0.3179,9,2,0
59508.79,0.5272,8,6,0
19622.86,0.6013,4,9,1
52796.81,0.2908,1,8,0
40073.2,0.3895,1,8,0
62786.5,0.1853,1,8,0
38112.19,0.2268,1,7,0
48278.95,0.5768,8,8,0
57574.81,0.227,3,6,0
62986.33,0.4676,6,2,0
31995.55,0.5963,3,2,0
44982.48,0.1748,5,8,0
42875.82,0.4971,7,1,0
40200.06,0.2796,2,6,0
76481.81,0.774,6,6,0
56074.73,0.4385,6,4,0
31086.74,0.6642,3,3,0
63767.93,0.4852,6,3,0
81832.34,0.1304,5,1,0
65486.98,0.5432,2,3,0
27209.45,0.766,9,4,1
42736.49,0.5211,8,5,1
69003.67,0.6734,3,3,0
39384.96,0.7189,8,6,0
56657.29,0.2597,9,5,0
61619.51,0.2484,3,3,0
36096.04,0.5277,3,6,0
49107.12,0.3877,2,6,0
1380.99,0.6879,8,8,0
34634.19,0.73,1,2,1
46211.48,0.3474,8,1,0
31283.25,0.2658,7,4,0
74486.17,0.6464,7,7,0
28547.88,0.2924,3,3,1
43399.33,0.6758,1,3,0
51961.11,0.3966,4,5,0
71619.1,0.5673,9,5,0
28462.07,0.1669,5,3,0
67447.46,0.5367,1,9,0
50153.5,0.4162,5,4,0
35277.37,0.5106,8,3,0
56931.55,0.2176,8,2,0
52985.9,0.6158,5,9,1
40996.75,0.704,9,4,0
51047.03,0.2517,1,3,0
44220.3,0.167,4,7,0
51702.76,0.1165,3,8,0
59931.96,0.5494,2,2,0
73790.25,0.525,8,7,0
31432.77,0.4827,7,5,0
81995.5,0.2624,9,5,0
20718.68,0.3736,2,3,0
47723.22,0.5161,4,5,0
58824.76,0.4477,6,2,0
54214.88,0.7914,3,4,1
40659.51,0.1955,8,6,0
46878.17,0.5866,3,1,0
42604.99,0.383,2,4,0
41159.53,0.3997,3,6,0
62744.03,0.6023,6,9,0
55355.23,0.5847,2,2,0
39606.36,0.7939,8,7,1
63494.0,0.1899,1,6,0
54609.49,0.1729,7,2,0
62192.93,0.607,2,8,0
59444.43,0.5049,6,7,0
37565.07,0.2919,2,5,0
41597.28,0.1556,2,5,0
61209.4,0.16,8,7,0
59155.55,0.7259,2,9,0
49686.48,0.2343,7,9,0
51759.91,0.3264,3,9,0
69164.97,0.2587,8,6,1
41126.43,0.3485,7,6,0
58206.46,0.1486,8,3,0
46967.11,0.4633,7,1,0
46734.78,0.1473,6,7,0
66481.65,0.6602,7,4,0
62381.25,0.2636,5,1,0
62202.64,0.478,7,8,0
69582.18,0.7161,1,6,0
50315.06,0.5556,1,6,1
60229.29,0.4731,9,2,0
45346.0,0.327,5,1,0
54862.5,0.3331,5,2,0
48047.85,0.5686,3,4,0
51454.94,0.7959,5,2,0
58927.36,0.5633,3,1,0
37726.69,0.4904,9,7,0
81385.81,0.6115,9,8,0
34909.74,0.4256,6,6,0
31787.17,0.1421,1,4,0
67371.66,0.4936,7,6,0
61874.94,0.7703,7,3,0
59361.8,0.2227,4,8,0
59425.18,0.583,8,2,0
49816.3,0.2407,6,5,0
36541.18,0.4751,4,1,0
51137.07,0.1677,4,6,0
39842.57,0.4153,2,2,0
64626.8,0.6293,2,4,0
47794.14,0.3433,4,6,0
37617.54,0.5654,5,8,0
45179.21,0.6568,8,8,0
56193.97,0.749,6,6,0
41544.13,0.2642,4,4,0
37666.69,0.3795,7,8,0
53655.31,0.2067,8,8,0
53674.5,0.7947,2,1,0
42395.85,0.7489,7,4,0
42934.43,0.478,2,4,0
53480.75,0.6894,2,7,0
28278.73,0.4647,8,7,0
28888.04,0.5365,2,8,0
39223.34,0.1624,9,5,0
46798.29,0.6287,1,7,0
54663.61,0.1894,9,8,0
72130.34,0.6782,1,9,0
62864.89,0.6474,2,3,0
47600.92,0.5961,6,3,0
49714.76,0.1253,6,4,0
34962.06,0.3122,1,5,0
49722.3,0.2842,7,1,0
45670.12,0.3521,8,7,0
54840.78,0.1613,2,9,0
37591.54,0.7559,8,8,0
57790.2,0.4877,9,5,0
72991.08,0.3139,6,4,0
48368.6,0.3779,5,7,0
56025.68,0.413,9,5,0
60352.16,0.5204,9,7,0
43981.69,0.461,1,1,0
53361.39,0.7436,3,1,0
50188.89,0.4479,9,3,0
51465.14,0.7945,2,2,0
38404.85,0.696,4,2,0
50367.65,0.246,4,7,0
57469.97,0.7514,2,2,0
71767.15,0.1815,3,4,0
64389.06,0.6722,3,2,0
82297.74,0.3664,1,6,0
38489.79,0.7146,6,8,1
63084.81,0.7076,8,4,0
52750.13,0.6641,3,5,0
82847.04,0.653,5,4,0
37875.53,0.3133,1,3,0
37404.17,0.1566,7,5,0
41009.11,0.3821,1,9,1
18141.56,0.2215,9,8,0
42113.67,0.5865,8,8,0
38613.01,0.3423,7,8,0
52255.91,0.7829,7,8,0
55126.34,0.5487,5,7,0
78142.56,0.6757,5,8,0
64256.36,0.1928,5,8,0
41346.45,0.7034,1,8,0
36523.78,0.7459,8,7,0
57378.79,0.4409,1,1,0
30196.5,0.5244,4,4,0
77471.88,0.6354,9,4,0
67691.6,0.2224,9,5,0
42962.37,0.4518,5,6,0
24302.98,0.3791,4,4,0
70308.09,0.2025,3,2,0
48281.9,0.3573,3,6,1
68567.24,0.1477,5,8,0
26083.59,0.1181,1,8,0
41009.37,0.1946,5,7,0
50078.66,0.7742,6,6,1
50704.71,0.4847,7,2,0
43249.02,0.7761,9,7,0
59342.75,0.4027,3,5,0
33985.69,0.3183,2,6,0
47864.31,0.4543,3,8,0
51804.43,0.4077,9,8,0
57716.58,0.174,7,3,0
60674.22,0.5486,9,7,0
33130.37,0.2512,2,1,0
26988.29,0.5337,5,1,0
69165.15,0.5551,4,7,0
54984.71,0.2064,2,9,1
38772.7,0.1429,9,7,0
73267.28,0.6465,9,5,0
51735.12,0.4219,6,8,0
67689.46,0.1407,6,2,0
51012.78,0.7964,8,9,0
80911.22,0.1404,6,6,0
76330.11,0.5865,1,9,0
46265.54,0.7886,4,2,0
64573.56,0.2674,7,3,0
59680.64,0.1996,2,8,0
70529.47,0.185,9,1,0
35526.15,0.3123,8,7,0
60290.77,0.1707,8,7,0
65876.37,0.5845,7,1,0
23618.91,0.1436,4,9,0
32251.12,0.4566,2,8,0
19411.52,0.7977,3,4,0
45958.9,0.6698,6,5,0
60763.13,0.5307,5,2,0
72535.36,0.3144,8,9,0
51111.42,0.5367,6,6,0
74429.23,0.4689,6,3,0
29298.48,0.3983,1,7,0
24449.26,0.1915,4,9,0
49166.78,0.7206,5,3,0
55760.98,0.4148,3,2,0
49509.58,0.2362,9,7,1
18988.37,0.3574,1,7,0
48663.2,0.3899,6,4,0
30432.96,0.6793,6,9,0
60045.09,0.6135,5,8,0
55498.97,0.6385,5,1,1
35901.8,0.1077,5,1,0
42292.0,0.3913,6,5,0
34111.8,0.4369,8,6,0
49059.81,0.1134,2,3,0
64327.13,0.2819,6,9,0
35214.11,0.6322,1,6,0
57560.7,0.196,4,4,0
42046.14,0.4747,3,7,0
38106.91,0.2506,9,8,0
48394.54,0.1085,3,9,0
34471.37,0.2688,6,6,0
41695.26,0.7831,1,6,1
32031.83,0.6611,6,8,0
79470.88,0.7717,4,5,0
50528.95,0.4415,8,3,0
39504.12,0.1768,9,3,0
53209.7,0.4836,4,6,0
48315.08,0.4181,6,2,0
46685.46,0.691,1,6,0
59212.5,0.1687,4,6,0
61362.62,0.4418,7,8,0
42042.48,0.205,1,7,0
41362.73,0.3273,8,8,0
45874.22,0.6161,6,9,0
15471.18,0.4332,5,6,0
27272.13,0.3631,9,3,0
70503.11,0.3761,2,3,0
74674.52,0.4216,5,1,0
46264.46,0.6495,6,5,0
58648.35,0.7245,7,4,0
54668.75,0.7687,5,9,0
96183.21,0.6508,9,9,0
66793.62,0.3208,1,5,0
48081.24,0.5817,7,4,0
35666.89,0.4063,7,7,0
25903.31,0.2783,4,6,0
53051.95,0.6886,9,4,0
38654.74,0.1269,5,2,0
28666.19,0.7312,4,1,0
40301.41,0.423,7,4,0
33776.78,0.546,4,4,0
75307.12,0.5615,3,1,0
63224.6,0.7266,9,6,0
49880.41,0.5457,8,4,0
72199.16,0.5298,1,1,0
51160.52,0.1467,7,1,0
37080.74,0.4629,9,1,0
72846.86,0.2051,8,8,0
58083.65,0.6162,8,8,0
34441.31,0.4586,6,2,0
47144.92,0.5762,4,7,0
36865.73,0.1292,8,8,0
29258.0,0.1594,3,8,0
63892.66,0.6014,9,7,0
78641.25,0.1505,2,5,0
29021.49,0.1499,2,1,0
58444.54,0.1085,7,9,0
40240.36,0.7696,4,7,0
42693.12,0.6163,8,2,0
41114.09,0.3473,9,6,0
37040.14,0.3076,7,2,0
50727.82,0.3448,5,1,0
37535.75,0.6423,8,7,0
54056.85,0.563,4,2,0
49246.43,0.2296,2,2,0
46415.78,0.2219,6,5,0
36386.55,0.1689,9,5,0
41348.43,0.5622,1,7,0
61330.87,0.6351,7,1,0
57513.76,0.2855,9,8,0
35336.67,0.1147,9,3,0
51489.98,0.1575,3,4,0
61270.81,0.7775,5,9,0
24958.92,0.3068,8,4,0
58150.4,0.6385,8,5,0
40060.64,0.5373,4,7,0
58558.98,0.3674,1,4,0
38551.11,0.244,1,1,0
22926.77,0.185,4,9,0
25586.86,0.5305,6,4,0
50721.27,0.6422,8,9,0
53895.84,0.5507,6,6,0
36435.25,0.4712,9,1,0
59578.89,0.1294,9,3,0
25077.2,0.7779,2,2,0
49008.8,0.6591,1,9,0
31834.76,0.305,2,1,0
40222.46,0.786,5,9,0
50710.98,0.5213,4,9,0
37093.8,0.5077,4,8,0
44231.67,0.6237,9,8,0
65094.39,0.6682,8,1,0
41346.62,0.5595,6,8,0
62535.38,0.1897,1,3,0
33054.4,0.3368,2,7,0
57947.06,0.7497,6,1,0
71623.53,0.2572,2,1,0
12925.33,0.3605,5,5,0
38046.57,0.4025,5,5,1
58656.08,0.4076,6,8,0
46954.32,0.5291,6,7,0
55567.19,0.7602,6,8,0
40940.22,0.2685,2,6,0
51298.85,0.1851,3,6,0
47664.84,0.2382,6,2,0
67516.73,0.7208,8,6,0
53816.31,0.5521,1,5,0
55064.04,0.3001,1,3,0
43821.85,0.6712,2,6,0
42685.91,0.703,6,8,0
43511.63,0.6926,9,9,0
55916.78,0.7432,4,1,0
43685.23,0.2766,3,3,0
54346.62,0.6285,8,3,0
81131.01,0.4224,9,8,0
63066.87,0.6894,5,1,0
45109.65,0.6099,9,5,0
68018.21,0.6435,2,3,0
43878.87,0.5593,3,2,0
19428.13,0.2242,7,8,0
34878.71,0.4815,7,3,0
21938.12,0.7893,6,7,1
44727.3,0.7562,6,1,0
50276.28,0.1302,2,6,0
75146.56,0.2154,6,3,0
54903.91,0.1922,4,8,0
46713.49,0.6082,3,6,0
62441.08,0.6724,2,2,0
16832.97,0.2495,1,6,0
53534.22,0.4541,5,7,0
61562.98,0.6885,2,5,0
27821.21,0.613,2,3,0
67156.31,0.4796,7,4,0
55077.45,0.5132,8,4,0
43770.68,0.4559,8,6,0
59491.73,0.3083,4,1,1
84060.39,0.4955,1,4,0
52727.99,0.5822,7,4,0
53723.31,0.7113,1,1,0
43109.59,0.5454,4,9,0
37252.33,0.6328,8,4,0
62455.04,0.2121,2,7,0
37158.74,0.4231,6,3,0
51073.49,0.1065,6,3,0
42835.14,0.2727,9,8,0
57184.7,0.6085,5,8,0
55004.93,0.7943,4,1,1
65563.1,0.1694,5,2,0
42349.75,0.381,5,8,0
45951.88,0.66,8,1,1
35318.54,0.2428,8,8,0
43335.6,0.4886,2,8,0
55659.51,0.6131,7,2,0
61354.83,0.5312,8,4,0
36167.52,0.2316,6,6,0
63044.09,0.3488,5,9,0
70334.57,0.6487,9,8,0
56201.52,0.488,3,8,0
78151.94,0.1037,4,7,0
38393.16,0.6327,9,9,0
31330.18,0.1247,6,2,0
23319.2,0.622,8,3,0
72440.66,0.2417,7,8,0
59815.48,0.7707,2,6,0
49166.23,0.3576,3,9,0
54199.53,0.3289,1,4,0
33117.66,0.2042,9,8,0
86686.28,0.3139,7,3,0
51938.32,0.7137,1,3,0
51640.92,0.7974,3,8,1
60886.5,0.3578,4,5,0
57215.14,0.414,4,3,0
53358.26,0.6054,5,1,0
38142.88,0.7203,3,3,1
57072.03,0.5151,3,9,0
78230.37,0.3741,1,5,0
70181.3,0.3888,7,2,0
73897.8,0.5869,1,7,0
42331.76,0.1023,2,2,0
35155.93,0.5337,4,4,1
48113.2,0.3488,4,7,0
50835.87,0.6559,5,4,0
66412.87,0.1651,2,7,0
24613.03,0.5117,4,7,1
72943.25,0.4367,1,1,0
47629.88,0.5496,2,6,0
43596.78,0.1454,1,9,0
34818.43,0.506,4,2,0
25177.15,0.493,4,3,0
62347.56,0.4925,7,5,0
51099.77,0.5224,9,9,1
30650.59,0.5735,9,4,0
30573.82,0.6635,5,1,0
44963.23,0.2889,1,4,0
75035.32,0.6775,1,6,0
46106.13,0.4488,6,5,1
27452.86,0.1539,2,1,0
46313.85,0.141,8,4,0
45909.15,0.334,9,6,0
9546.7,0.6494,4,4,0
49185.58,0.5954,5,9,0
46535.98,0.652,8,5,0
60443.1,0.4621,3,8,0
77734.34,0.4081,5,9,0
66898.48,0.2032,3,5,1
45966.67,0.3297,3,6,0
33402.11,0.4038,3,1,0
88600.4,0.162,7,7,0
50888.28,0.2544,7,4,0
50208.94,0.5188,7,2,0
49638.12,0.615,8,5,0
52971.27,0.7988,5,3,0
47834.59,0.7532,5,6,0
41395.07,0.5498,4,8,0
41797.12,0.3949,7,7,0
49508.7,0.5453,4,3,0
41848.63,0.65,2,8,0
39307.31,0.1828,4,2,0
51596.45,0.3869,8,9,1
46175.34,0.6879,9,4,0
72559.89,0.3687,3,1,0
10235.45,0.5003,7,8,0
66372.6,0.5114,9,7,0
68691.28,0.2291,4,5,0
18899.15,0.3536,3,5,1
44859.69,0.3342,5,7,0
44428.39,0.1183,1,5,0
28887.32,0.1169,3,8,0
38332.75,0.6822,8,6,1
33341.36,0.2911,8,5,0
76284.06,0.4627,4,9,0
64035.18,0.3091,2,2,0
69073.33,0.7585,8,1,0
60825.08,0.2815,8,8,0
33064.22,0.4008,4,3,0
42132.2,0.7109,3,7,0
57340.62,0.6894,2,8,0
31668.08,0.2303,9,6,0
60694.98,0.6619,1,9,1
46395.12,0.4207,7,7,0
44377.69,0.4381,5,5,0
60664.4,0.1934,8,8,0
56663.95,0.1564,4,2,0
44585.51,0.6096,7,7,0
67389.95,0.4475,5,4,0
33784.05,0.4058,5,9,0
59239.03,0.6107,9,1,0
58896.52,0.6359,9,7,0
45356.8,0.2112,9,6,0
54892.0,0.5272,6,8,0
31233.3,0.1947,6,5,0
63860.41,0.626,5,1,0
47226.47,0.5599,9,1,0
42159.15,0.7696,8,9,0
65735.14,0.1483,7,6,0
39434.84,0.1399,7,5,0
28873.08,0.2975,6,1,0
26650.56,0.2832,5,6,0
59090.15,0.2729,4,6,0
30793.56,0.7344,3,3,0
76321.91,0.2747,3,8,1
18771.06,0.2904,6,1,0
75446.85,0.6316,4,1,0
53165.26,0.4148,6,6,0
48549.3,0.6437,3,1,0
41826.21,0.1458,4,6,0
55987.04,0.4413,9,1,0
49435.48,0.1235,5,6,0
66549.53,0.1439,7,3,0
51713.41,0.7345,2,8,0
52254.53,0.1975,5,6,0
44545.82,0.4727,9,1,0
49145.82,0.3878,3,5,0
54617.03,0.3431,9,8,0
24347.47,0.7299,6,3,0
29777.22,0.1153,4,6,0
61148.96,0.5647,7,5,0
52562.98,0.7744,8,6,0
47240.25,0.4921,6,1,0
50276.51,0.7558,5,7,0
55213.73,0.1366,6,9,0
41903.6,0.3932,5,2,0
38325.43,0.2821,8,5,0
52937.68,0.6116,1,4,1
35324.41,0.7869,7,6,0
56123.79,0.2796,2,6,0
24461.25,0.5579,9,2,1
65437.33,0.2387,1,2,0
57088.96,0.4957,6,4,0
53840.45,0.4248,9,1,0
64740.36,0.7804,1,9,0
74982.12,0.526,4,7,0
65215.55,0.3447,4,7,0
22386.89,0.1799,9,3,0
30806.35,0.2059,5,3,0
40627.72,0.2577,5,1,0
50391.37,0.2757,6,3,0
57764.89,0.6954,1,3,1
39113.84,0.4929,1,4,0
52801.5,0.4664,9,4,0
38669.26,0.1803,3,3,0
40827.23,0.7021,4,8,0
28900.08,0.606,1,8,0
36151.5,0.1474,9,1,0
29724.73,0.5955,8,7,0
35361.9,0.4805,2,2,0
65804.63,0.1572,8,1,0
35759.02,0.4208,7,3,0
89485.73,0.4393,6,4,0
57399.77,0.216,1,6,0
52772.54,0.762,7,5,1
37124.63,0.695,7,4,0
60504.65,0.5683,9,8,0
41365.43,0.4236,1,4,0
51830.15,0.3882,2,2,0
88401.27,0.5557,9,3,0
48559.1,0.4818,9,6,0
67239.1,0.1436,6,8,0
39452.35,0.4588,6,8,0
49475.17,0.6645,4,9,1
76562.01,0.4215,4,7,0
40595.49,0.1364,5,2,0
77186.73,0.6504,3,8,0
60616.28,0.241,1,7,0
41563.0,0.281,1,8,0
59486.12,0.2153,7,3,0
64588.32,0.3312,1,7,0
59327.15,0.6297,1,9,0
26446.63,0.4636,3,3,0
39092.94,0.2434,4,6,0
46287.22,0.7145,4,2,0
48883.5,0.7157,2,2,0
59310.08,0.7094,1,5,1
52665.52,0.2672,3,5,0
29969.83,0.4159,4,7,0
55702.97,0.7895,3,2,0
59158.79,0.6404,8,7,1
58396.86,0.119,1,5,0
66211.71,0.1456,2,6,0
62508.83,0.4248,7,8,0
56887.7,0.7365,4,4,0
48947.51,0.4771,8,7,0
25085.59,0.4485,3,6,0
56444.27,0.1738,6,2,0
53115.32,0.5597,9,8,0
54073.68,0.6755,1,9,0
30848.77,0.3663,1,5,1
33784.15,0.6429,8,4,0
65797.29,0.7751,3,6,1
49406.67,0.2426,5,8,0
60222.51,0.4663,1,3,0
50424.78,0.301,5,1,0
50446.34,0.655,6,4,0
64074.26,0.5043,8,4,0
42259.33,0.5442,3,1,0
51441.81,0.6585,3,9,0
43065.87,0.3772,9,3,0
43482.56,0.7406,4,5,0
45362.42,0.4731,4,6,0
53332.01,0.2106,7,8,0
42818.77,0.5871,2,6,0
68836.34,0.6553,8,3,0
36580.89,0.3217,6,6,0
47196.93,0.7,3,1,0
43404.03,0.7343,9,4,0
71704.67,0.2938,5,6,0
52948.32,0.7885,8,7,0
65477.67,0.1985,7,3,0
27716.59,0.2414,8,9,0
54005.75,0.229,7,7,0
63344.46,0.7258,3,1,0
51234.26,0.558,2,2,0
65982.21,0.2065,7,1,0
42240.67,0.4082,3,9,0
71140.21,0.5307,3,9,0
84483.47,0.1584,2,7,0
44557.42,0.7177,4,3,0
43317.46,0.6625,8,5,0
71800.77,0.4536,1,4,0
73693.58,0.777,1,7,0
42157.1,0.3924,5,9,0
43697.2,0.7889,5,2,0
45773.23,0.5675,1,8,0
29833.24,0.5443,6,9,0
36220.22,0.2162,1,9,0
34937.89,0.7173,5,7,0
38483.04,0.3992,9,9,0
49479.73,0.2136,5,9,0
53513.22,0.1088,6,3,0
73257.51,0.4918,8,4,0
35024.69,0.4692,1,2,0
64764.84,0.6035,2,3,0
46790.17,0.7232,9,5,0
49258.04,0.1556,3,5,0
60122.29,0.612,6,6,0
33159.17,0.2312,5,7,0
55736.15,0.7007,2,7,0
52496.78,0.6733,7,1,0
57386.77,0.4786,4,2,0
54337.53,0.5972,1,9,1
86829.5,0.32,4,2,0
40433.9,0.4298,6,6,0
42035.05,0.6751,7,1,0
40652.89,0.4215,7,3,0
41667.84,0.3505,7,2,0
40439.19,0.4459,3,3,0
67835.25,0.6798,6,5,0
71307.56,0.3346,8,6,0
41438.81,0.2216,4,9,0
37514.67,0.5984,8,4,0
57071.23,0.6782,2,7,0
41716.65,0.1704,9,6,0
59493.98,0.2679,9,2,0
53043.85,0.1994,8,8,0
27263.84,0.3436,1,7,0
73212.58,0.4152,2,7,0
76938.17,0.6242,6,8,0
40808.17,0.5558,5,1,0
44184.48,0.5346,9,1,0
54287.98,0.3467,5,8,0
55016.85,0.689,2,4,0
59878.16,0.4299,4,5,0
80153.07,0.7854,9,8,0
47345.79,0.5439,1,5,0
38025.54,0.1884,1,4,0
29310.21,0.5733,7,6,0
39036.05,0.3276,3,5,1
49503.1,0.5804,2,7,1
76918.37,0.1487,9,7,0
42235.83,0.2224,3,4,0
