customer_id,monthly_transactions,avg_transaction_value,account_age_months,num_products
138,1.41,318.48,35,2
139,2.12,275.99,34,3
140,2.04,284.59,54,3
141,2.07,326.49,50,4
142,2.95,250.49,34,5
143,3.28,221.92,35,1
144,1.91,323.53,21,5
145,2.17,275.09,45,5
146,1.88,280.28,24,4
147,1.65,333.98,23,1
148,2.21,272.28,6,4
149,2.54,312.29,19,1
150,2.49,325.19,56,2
151,1.5,277.59,52,1
152,2.45,324.41,55,4
153,1.99,304.69,7,5
154,2.77,276.34,59,1
155,2.33,291.91,33,1
156,1.87,343.95,54,3
157,2.5,332.54,55,5
158,2.78,300.84,35,2
159,2.41,287.59,43,4
160,2.19,294.79,56,2
161,2.06,323.81,9,5
162,1.51,383.7,6,1
163,1.4,251.43,13,1
164,2.69,331.67,34,5
165,2.37,325.13,44,1
166,1.99,264.11,8,1
167,2.05,272.91,37,1
168,2.59,294.12,15,4
169,1.5,287.14,15,4
170,2.25,277.45,24,3
171,1.51,309.75,51,2
172,2.15,279.72,39,5
173,1.72,309.28,38,5
174,1.13,243.7,28,5
175,1.57,291.46,33,3
176,2.19,359.01,37,4
177,2.51,293.6,55,3
178,1.99,259.9,12,5
179,1.99,288.45,34,2
180,2.19,266.91,13,1
181,2.31,361.31,6,4
182,1.93,316.07,8,4
183,2.41,283.95,29,3
184,2.13,300.5,28,4
185,2.06,269.08,13,5
186,2.01,319.92,59,5
187,2.87,338.37,52,3
188,3.29,269.31,42,5
189,2.52,307.33,8,2
190,3.31,267.67,56,3
191,1.5,276.02,38,2
192,0.73,278.97,33,1
193,1.54,306.02,52,2
194,2.21,375.05,13,1
195,2.57,276.92,39,1
196,1.46,319.68,40,2
197,1.21,373.26,37,3
198,2.71,281.23,29,5
199,0.97,354.15,19,5
200,1.93,349.51,37,1
201,3.88,470.03,51,1
202,5.0,502.35,48,3
203,4.68,531.14,21,4
204,4.25,492.88,9,2
205,5.08,525.72,57,1
206,5.5,443.77,42,5
207,3.93,563.88,59,3
208,5.23,462.58,26,2
209,6.09,505.78,19,3
210,5.83,503.38,36,2
211,6.44,587.77,53,2
212,4.83,548.58,23,1
213,5.45,568.43,12,3
214,4.32,534.3,15,3
215,5.74,412.06,12,5
216,4.17,398.04,38,5
217,4.81,535.88,28,1
218,6.05,503.7,26,1
219,6.14,430.99,24,4
220,3.81,497.22,53,5
221,5.27,498.37,24,2
222,3.55,495.54,41,3
223,4.09,533.48,34,1
224,5.26,453.01,23,3
225,4.64,447.04,7,3
226,4.96,547.76,6,4
227,4.31,525.2,52,5
228,4.63,460.36,10,1
229,4.93,448.24,25,3
230,4.61,440.11,16,1
231,6.38,501.76,47,2
232,4.51,510.7,7,4
233,4.92,488.95,8,2
234,5.43,537.88,28,1
235,4.63,471.21,17,1
236,4.81,384.9,25,5
237,3.94,568.34,10,3
238,6.15,487.55,42,3
239,5.4,515.56,43,2
240,7.16,555.98,35,4
241,4.91,452.22,14,3
242,3.88,510.17,39,5
243,4.47,428.89,58,2
244,4.55,445.92,49,2
245,6.18,544.08,40,5
246,4.99,574.0,57,4
247,5.05,456.94,27,5
248,6.07,526.95,49,4
249,4.27,490.48,29,5
250,4.39,430.86,22,5
251,5.65,595.47,15,1
252,4.02,528.15,35,2
253,4.54,475.64,51,5
254,4.59,456.8,28,5
255,5.03,458.45,37,3
256,5.19,497.49,22,2
257,4.83,454.62,55,3
258,4.6,537.77,56,2
259,5.35,451.12,22,3
260,5.07,537.57,19,5
261,3.83,527.17,14,5
262,4.54,528.53,45,1
263,4.47,409.76,7,3
264,3.86,502.4,50,4
265,5.18,454.78,30,1
266,5.45,416.92,44,3
267,4.95,439.45,14,3
268,4.54,502.37,59,1
269,4.4,480.77,27,5
270,5.7,471.16,48,3
271,5.58,443.51,51,5
272,5.37,572.08,9,1
273,3.27,460.16,31,5
274,5.4,489.85,34,2
275,5.26,469.8,50,4
276,5.06,492.22,39,3
277,5.82,512.72,28,4
278,5.24,479.41,42,5
279,4.66,478.37,16,3
280,5.28,478.95,11,5
281,5.2,603.77,23,2
282,5.61,483.7,26,1
283,5.84,479.6,47,3
284,3.57,449.6,41,2
285,3.69,482.42,46,2
286,5.01,583.82,43,3
287,5.23,489.04,39,5
288,5.58,389.44,22,2
289,5.16,538.54,42,4
290,3.96,557.19,30,2
291,5.24,479.24,43,5
292,5.44,613.53,17,5
293,5.13,512.41,28,4
294,4.68,457.51,58,2
295,5.58,457.2,47,5
296,5.05,476.12,27,3
297,5.34,516.68,26,1
298,5.73,474.5,32,1
299,4.81,451.06,36,1
300,4.69,518.87,11,2
