transaction_id,amount,hour,is_foreign,previous_fraud,account_age_days,transaction_freq,device_changed,location_distance,is_fraud
131,567.00,10,0,0,345,7.1,0,16.2,0
132,1920.00,22,1,0,65,2.2,1,580.9,1
133,67.00,9,0,0,789,9.5,0,2.5,0
134,189.00,15,0,0,1456,14.5,0,7.4,0
135,3520.00,2,1,0,45,1.4,1,850.7,1
136,78.90,13,0,0,1234,13.0,0,3.6,0
137,234.56,11,0,0,567,8.3,0,5.8,0
138,4180.00,4,1,1,60,2.0,1,1040.6,1
139,45.00,17,0,0,678,10.2,0,1.1,0
140,345.00,14,0,0,1567,15.4,0,9.7,0
141,2890.00,3,1,0,40,1.3,1,810.4,1
142,89.00,16,0,0,890,11.3,0,2.8,0
143,678.90,10,0,0,1890,17.3,0,6.9,0
144,1350.00,23,1,0,95,2.9,1,460.2,1
145,123.00,12,0,0,456,7.8,0,4.2,0
146,567.89,9,0,0,1345,14.2,0,8.3,0
147,4580.00,2,1,0,25,0.8,1,1140.5,1
148,45.67,15,0,0,567,8.6,0,1.6,0
149,156.00,11,0,0,1234,12.7,0,5.4,0
150,2340.00,4,1,1,70,2.5,1,650.8,1
